Raion;Obekt;Sdacha;Etajnosty;Tip;Lest;Obekt;Etaj;S_obshch;S_zhil;S_kukh;S_Komnaty;Otdelka;S\u;Balk;TCena;za_m2;Baz_tcena;Prodavetc;Obnovleno,,,
Lomonosovskii;Veter peremen;I kv. 2020;16;MN;1;ST;16;26.52;17.1;17.1;17.1;CHern;S;B;1850000;69759;1850000;Gazprombank-Invest;18.06.2019,,,
Lomonosovskii;Veter peremen;I kv. 2020;16;MN;1;ST;16;26.52;17.1;17.1;17.1;CHern;S;B;1850000;69759;1850000;Gazprombank-Invest;18.06.2019,,,
Lomonosovskii;Veter peremen;I kv. 2020;16;MN;1;ST;16;26.52;17.1;17.1;17.1;CHern;S;B;1850000;69759;1850000;Gazprombank-Invest;18.06.2019,,,
Lomonosovskii;Veter peremen;I kv. 2020;16;MN;1;ST;16;26.52;17.1;17.1;17.1;CHern;S;B;1850000;69759;1850000;Gazprombank-Invest;18.06.2019,,,
Lomonosovskii;Veter peremen;I kv. 2020;16;MN;1;ST;8;26.52;17.1;17.1;17.1;CHern;S;B;1850000;69759;1850000;Gazprombank-Invest;18.06.2019,,,
Lomonosovskii;Veter peremen;I kv. 2020;16;MN;1;ST;2;27.22;17.1;17.1;17.1;CHern;S;B;1850000;67965;1850000;Gazprombank-Invest;18.06.2019,,,
Lomonosovskii;Veter peremen;I kv. 2020;16;MN;1;ST;2;27.22;17.1;17.1;17.1;CHern;S;B;1850000;67965;1850000;Gazprombank-Invest;18.06.2019,,,
Lomonosovskii;Veter peremen;I kv. 2020;16;MN;1;ST;2;27.22;17.1;17.1;17.1;CHern;S;B;1850000;67965;1850000;Gazprombank-Invest;18.06.2019,,,
Moskovskii;Dve Stolitcy;I kv. 2020;17;MK;2;ST;9;25.71;16.15;16.15;16.15;P/CHist;S;B;2673840;104000;2699550;InterGrupp;18.06.2019,,,
Moskovskii;Dve Stolitcy;I kv. 2020;17;MK;2;ST;17;25.74;16.15;16.15;16.15;P/CHist;S;B;2664090;103500;2689830;InterGrupp;18.06.2019,,,
Moskovskii;Dve Stolitcy;I kv. 2020;17;MK;2;ST;3;25.74;16.15;16.15;16.15;P/CHist;S;B;2651220;103000;2676960;InterGrupp;18.06.2019,,,
Moskovskii;Dve Stolitcy;I kv. 2020;17;MK;2;ST;1;27.02;17.43;17.43;17.43;P/CHist;S;B;2729020;101000;2756040;InterGrupp;18.06.2019,,,
Moskovskii;Dve Stolitcy;I kv. 2020;17;MK;2;ST;14;27.52;17.68;17.68;17.68;P/CHist;S;B;2848320;103500;2875840;InterGrupp;18.06.2019,,,
Moskovskii;Dve Stolitcy;I kv. 2020;17;MK;2;ST;14;27.52;17.68;17.68;17.68;P/CHist;S;B;2848320;103500;2875840;InterGrupp;18.06.2019,,,
Moskovskii;Dve Stolitcy;I kv. 2020;17;MK;2;ST;17;27.52;17.68;17.68;17.68;P/CHist;S;B;2848320;103500;2875840;InterGrupp;18.06.2019,,,
Moskovskii;Dve Stolitcy;I kv. 2020;17;MK;2;ST;17;27.52;17.68;17.68;17.68;P/CHist;S;B;2848320;103500;2875840;InterGrupp;18.06.2019,,,
Moskovskii;Dve Stolitcy;I kv. 2020;17;MK;2;ST;5;27.52;17.68;17.68;17.68;P/CHist;S;B;2834560;103000;2862080;InterGrupp;18.06.2019,,,
Moskovskii;Dve Stolitcy;I kv. 2020;17;MK;2;ST;1;28.79;18.96;18.96;18.96;P/CHist;S;B;2893395;100500;2922185;InterGrupp;18.06.2019,,,
Moskovskii;Dve Stolitcy;I kv. 2020;17;MK;2;ST;1;28.8;18.96;18.96;18.96;P/CHist;S;B;2894400;100500;2923200;InterGrupp;18.06.2019,,,
Moskovskii;Dve Stolitcy;I kv. 2020;17;MK;3;ST;10;26.16;16.59;16.59;16.59;P/CHist;S;B;2759880;105500;2786040;InterGrupp;18.06.2019,,,
Moskovskii;Dve Stolitcy;I kv. 2020;17;MK;3;ST;17;26.16;16.59;16.59;16.59;P/CHist;S;B;2759880;105500;2786040;InterGrupp;18.06.2019,,,
Moskovskii;Dve Stolitcy;I kv. 2020;17;MK;3;ST;9;26.16;16.59;16.59;16.59;P/CHist;S;B;2759880;105500;2786040;InterGrupp;18.06.2019,,,
Moskovskii;Dve Stolitcy;I kv. 2020;17;MK;3;ST;17;26.2;16.59;16.59;16.59;P/CHist;S;B;2764100;105500;2790300;InterGrupp;18.06.2019,,,
Moskovskii;Dve Stolitcy;I kv. 2020;17;MK;3;ST;2;26.2;16.59;16.59;16.59;P/CHist;S;B;2711700;103500;2737900;InterGrupp;18.06.2019,,,
Moskovskii;Dve Stolitcy;I kv. 2020;17;MK;3;ST;6;26.2;16.59;16.59;16.59;P/CHist;S;B;2764100;105500;2790300;InterGrupp;18.06.2019,,,
Moskovskii;Dve Stolitcy;I kv. 2020;17;MK;3;ST;7;26.2;16.59;16.59;16.59;P/CHist;S;B;2764100;105500;2790300;InterGrupp;18.06.2019,,,
Moskovskii;Dve Stolitcy;I kv. 2020;17;MK;3;ST;8;26.2;16.59;16.59;16.59;P/CHist;S;B;2764100;105500;2790300;InterGrupp;18.06.2019,,,
Moskovskii;Dve Stolitcy;I kv. 2020;17;MK;3;ST;1;27.44;17.87;17.87;17.87;P/CHist;S;B;2812600;102500;2840040;InterGrupp;18.06.2019,,,
Moskovskii;Dve Stolitcy;I kv. 2020;17;MK;3;ST;1;27.47;17.87;17.87;17.87;P/CHist;S;B;2815675;102500;2843145;InterGrupp;18.06.2019,,,
TCentralnyi;YES Marata;I kv. 2020;10;K/M;A1;ST;2;32.1;20;20;20;P/Kl;S;-;5704850;177721;5704850;Pioner;14.06.2019,,,
TCentralnyi;YES Marata;I kv. 2020;10;K/M;A2;SA;9;50.15;25.6;25.6;25.6;P/Kl;S;L;9677897;192979;9677897;Pioner;14.06.2019,,,
TCentralnyi;YES Marata;I kv. 2020;10;K/M;A3;ST;4;26.5;18.9;18.9;18.90;P/Kl;S;-;6022500;227264;5800000;Nmarket.PRO SPb;14.06.2019,,,
TCentralnyi;YES Marata;I kv. 2020;10;K/M;V;ST;2;26.5;18.9;18.9;18.90;P/Kl;S;-;4764057;179776;4764057;Pioner;14.06.2019,,,
TCentralnyi;YES Marata;I kv. 2020;10;K/M;V;ST;2;26.5;18.9;18.9;18.90;P/Kl;S;-;4764057;179776;4764057;Pioner;14.06.2019,,,
TCentralnyi;YES Marata;I kv. 2020;10;K/M;V;ST;2;26.5;18.9;18.9;18.90;P/Kl;S;-;4764057;179776;4764057;Pioner;14.06.2019,,,
TCentralnyi;YES Marata;I kv. 2020;10;K/M;V;ST;2;26.5;18.9;18.9;18.90;P/Kl;S;-;4764064;179776;4764064;Pioner;14.06.2019,,,
TCentralnyi;YES Marata;I kv. 2020;10;K/M;V;ST;2;26.5;18.9;18.9;18.90;P/Kl;S;-;4764057;179776;4764057;Pioner;14.06.2019,,,
TCentralnyi;YES Marata;I kv. 2020;10;K/M;V;ST;2;26.5;18.9;18.9;18.90;P/Kl;S;-;4764064;179776;4764064;Pioner;14.06.2019,,,
TCentralnyi;YES Marata;I kv. 2020;10;K/M;V;ST;2;26.5;18.9;18.9;18.90;P/Kl;S;-;4764057;179776;4764057;Pioner;14.06.2019,,,
TCentralnyi;YES Marata;I kv. 2020;10;K/M;V;ST;2;26.5;18.9;18.9;18.90;P/Kl;S;-;4764057;179776;4764057;Pioner;14.06.2019,,,
TCentralnyi;YES Marata;I kv. 2020;10;K/M;V;ST;2;26.5;18.9;18.9;18.90;P/Kl;S;-;4764057;179776;4764057;Pioner;14.06.2019,,,
TCentralnyi;YES Marata;I kv. 2020;10;K/M;V;ST;2;26.5;18.9;18.9;18.90;P/Kl;S;-;4764057;179776;4764057;Pioner;14.06.2019,,,
TCentralnyi;YES Marata;I kv. 2020;10;K/M;V;ST;2;32.9;23.1;23.1;23.1;P/Kl;S;-;5847026;177721;5847026;Pioner;14.06.2019,,,
Vasileostrovskii;NEXT;I kv. 2020;11;MN;1;1A;3;47.51;22.44;14.98;22.44;P/Kl;S;-;6542271;137703;7269191;Evrostroi;04.06.2019,,,
Vasileostrovskii;NEXT;I kv. 2020;11;MN;1;1A;7;51.39;14.4;23.35;14.4;P/Kl;S;-;8990360;174944;9989288;Evrostroi;04.06.2019,,,
Vasileostrovskii;NEXT;I kv. 2020;11;MN;1;1A;8;51.39;14.4;23.35;14.4;P/Kl;S;-;9146071;177974;10162301;Evrostroi;04.06.2019,,,
Vasileostrovskii;NEXT;I kv. 2020;11;MN;1;1A;4;55.24;21.77;19.21;21.77;P/Kl;S;-;7670627;138860;8522918;Evrostroi;04.06.2019,,,
Vasileostrovskii;NEXT;I kv. 2020;11;MN;1;1A;5;55.24;21.77;19.21;21.77;P/Kl;S;-;7737128;140064;8596809;Evrostroi;04.06.2019,,,
Vasileostrovskii;NEXT;I kv. 2020;11;MN;1;1A;6;55.24;21.77;19.21;21.77;P/Kl;S;-;7815469;141482;8683855;Evrostroi;04.06.2019,,,
Vasileostrovskii;NEXT;I kv. 2020;11;MN;1;1A;7;55.24;21.77;19.21;21.77;P/Kl;S;-;7885304;142746;8761449;Evrostroi;04.06.2019,,,
Vasileostrovskii;NEXT;I kv. 2020;11;MN;1;1A;8;55.24;21.77;19.21;21.77;P/Kl;S;-;7952553;143964;8836170;Evrostroi;04.06.2019,,,
Vasileostrovskii;NEXT;I kv. 2020;11;MN;1;1A;9;55.24;21.77;19.21;21.77;P/Kl;S;-;8027561;145322;8919512;Evrostroi;04.06.2019,,,
Vasileostrovskii;NEXT;I kv. 2020;11;MN;1;1A;3;58.97;13.36;33.11;13.36;P/Kl;S;-;8197227;139007;9108030;Evrostroi;04.06.2019,,,
Vasileostrovskii;NEXT;I kv. 2020;11;MN;1;1A;5;58.97;13.36;33.11;13.36;P/Kl;S;-;8353814;141662;9282015;Evrostroi;04.06.2019,,,
Vasileostrovskii;NEXT;I kv. 2020;11;MN;1;1A;6;58.97;13.36;33.11;13.36;P/Kl;S;-;8440206;143127;9378007;Evrostroi;04.06.2019,,,
Vasileostrovskii;NEXT;I kv. 2020;11;MN;1;1A;7;58.97;13.36;33.11;13.36;P/Kl;S;-;8517518;144438;9463909;Evrostroi;04.06.2019,,,
Vasileostrovskii;NEXT;I kv. 2020;11;MN;1;1A;3;60.41;21.97;23.95;21.97;P/Kl;S;-;8291489;137254;9212765;Evrostroi;04.06.2019,,,
Vasileostrovskii;NEXT;I kv. 2020;11;MN;1;1A;4;60.41;21.97;23.95;21.97;P/Kl;S;-;8379174;138705;9310193;Evrostroi;04.06.2019,,,
Vasileostrovskii;NEXT;I kv. 2020;11;MN;1;1A;5;60.41;21.97;23.95;21.97;P/Kl;S;-;8451899;139909;9390999;Evrostroi;04.06.2019,,,
Vasileostrovskii;NEXT;I kv. 2020;11;MN;1;1A;6;60.41;21.97;23.95;21.97;P/Kl;S;-;8529087;141187;9476763;Evrostroi;04.06.2019,,,
